Flip Test is used --- False
Turning on evaluation mode...
Loading weight ... TrainedModels/Baseline_alt.pth
Using metric-base binary for evaluation!
Video level evaluation mode: True
Dataset loading time --- 33.268240451812744
Inferencing time --- 52.90388345718384
Inferencing time --- 52.95510292053223
Inferencing time --- 53.115154504776
Inferencing time --- 53.26315236091614
Inferencing time --- 53.38898277282715
Inferencing time --- 53.51330900192261
Inferencing time --- 53.63298153877258
Inferencing time --- 64.76807284355164
Inferencing time --- 64.93772101402283
Inferencing time --- 65.07499384880066
Inferencing time --- 65.1980369091034
Inferencing time --- 65.32249784469604
Inferencing time --- 65.9766194820404
Inferencing time --- 66.10041236877441
Inferencing time --- 76.71175789833069
Inferencing time --- 76.87410116195679
Inferencing time --- 77.00188493728638
Inferencing time --- 77.12851166725159
Inferencing time --- 77.25388479232788
Inferencing time --- 77.85651731491089
Inferencing time --- 77.98322057723999
Inferencing time --- 86.60151553153992
Inferencing time --- 86.76665115356445
Inferencing time --- 87.00060963630676
Inferencing time --- 87.12170886993408
Inferencing time --- 87.24600052833557
Inferencing time --- 87.73114156723022
Inferencing time --- 87.85317325592041
Inferencing time --- 97.29067730903625
Inferencing time --- 97.46371865272522
Inferencing time --- 97.89765477180481
Inferencing time --- 98.01979303359985
Inferencing time --- 98.14986991882324
Inferencing time --- 98.46093511581421
Inferencing time --- 98.5840950012207
Inferencing time --- 107.38454937934875
Inferencing time --- 107.5484070777893
Inferencing time --- 108.29954934120178
Inferencing time --- 108.43136096000671
Inferencing time --- 108.54976797103882
Inferencing time --- 108.67509698867798
Inferencing time --- 108.7985348701477
Inferencing time --- 118.26990461349487
Inferencing time --- 118.43012380599976
Inferencing time --- 118.56050634384155
Inferencing time --- 118.68653011322021
Inferencing time --- 118.81092810630798
Inferencing time --- 119.9469256401062
Inferencing time --- 120.07147550582886
Inferencing time --- 128.63345384597778
Inferencing time --- 128.80095100402832
Inferencing time --- 128.9346957206726
Inferencing time --- 129.05932307243347
Inferencing time --- 129.18540239334106
Inferencing time --- 130.20154905319214
Inferencing time --- 130.32723355293274
Inferencing time --- 138.178320646286
Inferencing time --- 138.333083152771
Inferencing time --- 138.4801070690155
Inferencing time --- 139.43577122688293
Inferencing time --- 139.5582914352417
Inferencing time --- 140.07913184165955
Inferencing time --- 140.200044631958
Inferencing time --- 148.46802830696106
Inferencing time --- 148.7016248703003
Inferencing time --- 148.83849835395813
Inferencing time --- 149.2554202079773
Inferencing time --- 149.37613010406494
Inferencing time --- 150.1851623058319
Inferencing time --- 150.31377458572388
Inferencing time --- 158.23900151252747
Inferencing time --- 158.8177571296692
Inferencing time --- 159.0478231906891
Inferencing time --- 159.16961002349854
Inferencing time --- 159.29784178733826
Inferencing time --- 160.80203294754028
Inferencing time --- 160.9280230998993
Inferencing time --- 167.81845426559448
Inferencing time --- 169.58549666404724
Inferencing time --- 169.70931196212769
Inferencing time --- 169.83678936958313
Inferencing time --- 169.96231126785278
Inferencing time --- 172.87813138961792
Inferencing time --- 173.03790092468262
Inferencing time --- 178.80151891708374
Inferencing time --- 180.83176922798157
Inferencing time --- 180.9994068145752
