Loading val dataloader successfully! -- 11.188063621520996
Loading Train dataloader successfully! -- 45.45161485671997
Starting training process...
Epoch: [0][0/510]	Time 15.462s (15.462s)	Speed 2.1 samples/s	Data 11.872s (11.872s)	Loss 525.68677 (525.68677)	Accuracy 0.531 (0.531)	 Cls Loss: 0.69468	 loss_cstency: 408.10870	 loss_hsic: 0.00210
Epoch: [0][5/510]	Time 1.378s (3.235s)	Speed 23.2 samples/s	Data 1.136s (2.432s)	Loss 510.08401 (531.90155)	Accuracy 0.500 (0.479)	 Cls Loss: 0.69393	 loss_cstency: 440.07306	 loss_hsic: 0.00234
Epoch: [0][10/510]	Time 0.539s (2.108s)	Speed 59.4 samples/s	Data 0.297s (1.544s)	Loss 546.12189 (531.71940)	Accuracy 0.469 (0.494)	 Cls Loss: 0.69312	 loss_cstency: 384.44584	 loss_hsic: 0.00239
Epoch: [0][15/510]	Time 0.562s (1.936s)	Speed 56.9 samples/s	Data 0.318s (1.471s)	Loss 485.39426 (525.23834)	Accuracy 0.531 (0.498)	 Cls Loss: 0.69208	 loss_cstency: 354.45260	 loss_hsic: 0.00230
Epoch: [0][20/510]	Time 0.556s (1.605s)	Speed 57.6 samples/s	Data 0.312s (1.192s)	Loss 473.46573 (512.01014)	Accuracy 0.438 (0.499)	 Cls Loss: 0.69285	 loss_cstency: 315.31574	 loss_hsic: 0.00222
Epoch: [0][25/510]	Time 0.544s (1.548s)	Speed 58.8 samples/s	Data 0.300s (1.167s)	Loss 428.72577 (500.37932)	Accuracy 0.406 (0.499)	 Cls Loss: 0.69347	 loss_cstency: 304.58569	 loss_hsic: 0.00224
Epoch: [0][30/510]	Time 1.416s (1.507s)	Speed 22.6 samples/s	Data 1.171s (1.147s)	Loss 462.88089 (492.37754)	Accuracy 0.469 (0.490)	 Cls Loss: 0.69253	 loss_cstency: 314.29116	 loss_hsic: 0.00236
Epoch: [0][35/510]	Time 3.278s (1.452s)	Speed 9.8 samples/s	Data 3.002s (1.107s)	Loss 416.79068 (486.76281)	Accuracy 0.562 (0.487)	 Cls Loss: 0.69132	 loss_cstency: 284.40194	 loss_hsic: 0.00241
Epoch: [0][40/510]	Time 0.559s (1.362s)	Speed 57.3 samples/s	Data 0.306s (1.029s)	Loss 492.09048 (483.51700)	Accuracy 0.531 (0.487)	 Cls Loss: 0.69051	 loss_cstency: 290.45966	 loss_hsic: 0.00248
Epoch: [0][45/510]	Time 0.683s (1.336s)	Speed 46.8 samples/s	Data 0.439s (1.012s)	Loss 428.03506 (478.67713)	Accuracy 0.594 (0.491)	 Cls Loss: 0.68928	 loss_cstency: 284.91351	 loss_hsic: 0.00267
Epoch: [0][50/510]	Time 2.243s (1.339s)	Speed 14.3 samples/s	Data 1.979s (1.022s)	Loss 437.80206 (475.16862)	Accuracy 0.469 (0.490)	 Cls Loss: 0.69215	 loss_cstency: 291.22275	 loss_hsic: 0.00244
Epoch: [0][55/510]	Time 0.539s (1.281s)	Speed 59.4 samples/s	Data 0.294s (0.970s)	Loss 424.26642 (471.48846)	Accuracy 0.375 (0.489)	 Cls Loss: 0.69630	 loss_cstency: 268.19058	 loss_hsic: 0.00249
Epoch: [0][60/510]	Time 0.555s (1.257s)	Speed 57.7 samples/s	Data 0.310s (0.951s)	Loss 438.75607 (469.25787)	Accuracy 0.500 (0.489)	 Cls Loss: 0.69136	 loss_cstency: 267.25900	 loss_hsic: 0.00220
Epoch: [0][65/510]	Time 0.550s (1.256s)	Speed 58.2 samples/s	Data 0.305s (0.954s)	Loss 438.73996 (465.61263)	Accuracy 0.500 (0.491)	 Cls Loss: 0.69099	 loss_cstency: 276.59239	 loss_hsic: 0.00241
Epoch: [0][70/510]	Time 1.407s (1.231s)	Speed 22.7 samples/s	Data 1.162s (0.933s)	Loss 450.95929 (462.63035)	Accuracy 0.469 (0.493)	 Cls Loss: 0.68987	 loss_cstency: 272.06165	 loss_hsic: 0.00250
